id,name,birth,death,checkpoint,categories,extrainfo
123,"Böcklin, Arnold",1827,1901,Deliberate 2.0,"Painting, Oil, Portrait, Landscape, Symbolism, Switzerland, 19th Century",
124,"Cadell, Francis",1883,1937,Deliberate 2.0,"Painting, Oil, Portrait, Scotland, UK",512px + Highres. Fix
125,"Cadmus, Paul",1904,1999,DreamShaper 3.2,"Painting, Oil, Tempera, Portrait, Nudity, USA",
126,"Caldwell, Clyde",1948,,DreamShaper 3.2,"Illustration, Painting, Oil, Acrylic, Fantasy, Cover Art, USA","512px + Highres. Fix, DPM++ SDE Karras"
127,"Calleri, Fred",1964,,Deliberate 2.0,"Painting, Oil, Portrait, USA",
128,"Camoin, Charles",1879,1965,DreamShaper 3.2,"Painting, Oil, Portrait, France",
129,"Campbell Cooper, Colin",1856,1937,Deliberate 2.0,"Painting, Oil, Watercolor, Cityscape, USA",
130,"Campion, Pascal",1973,,Deliberate 2.0,"Illustration, Animation, France",
131,"Caniff, Milton",1907,1988,Deliberate 2.0,"Comic, B&W, USA",
132,"Carpio, Pablo",,,DreamShaper 3.2,"Character Design, Concept Art, Game Art, Spain",
133,"Carson, Michael",1972,,DreamShaper 3.2,"Painting, Oil, Portrait, USA",
134,"Caruso, Santiago",1982,,Deliberate 2.0,"Illustration, Concept Art, Cover Art, Gothic, Horror, Symbolism, Surrealism, Argentina",
135,"Cassegrain, Didier",1966,,DreamShaper 3.2,"Illustration, Comic, France",
136,"Casson, Alfred Joseph",1898,1992,Deliberate 2.0,"Painting, Landscape, Oil, Canada",
137,"Catherall, Paul",,,Deliberate 2.0,"Illustration, Linocut, Print, Cover Art, Poster, UK",
138,"Cearley, Clint",,,Deliberate 2.0,"Illustration, Blizzard, DnD, MTG, USA",
139,"Cecile, Agnes (Silvia Pelissero)",1991,,DreamShaper 3.2,"Illustration, Painting, Watercolor, Portrait, Italy",
140,"Chagall, Marc",1887,1985,DreamShaper 3.2,"Painting, Cubism, Expressionism, Belarus, France",
141,"Chamberlain, John",1927,2011,DreamShaper 3.2,"Sculpture, Pop-Art, USA",
142,"Chardin, Jean Siméon",1699,1779,Deliberate 2.0,"Painting, Oil, Still Life, Portrait, 18th Century, France",
143,"Charest, Travis",1969,,Deliberate 2.0,"Illustration, Comic, Ink, DC Comics, Canada",
144,"Chavannes, Pierre Puvis de",1824,1898,Deliberate 2.0,"Painting, Oil, Symbolism, France, 19th Century",
145,"Cheng, Hsiao-Ron",1986,,Deliberate 2.0,"Illustration, Portrait, Taiwan",
146,"Cheng, Yanjun",,,Deliberate 2.0,"Illustration, Portrait",DPM++ 2M Karras
147,"Chermayeff, Ivan",1932,2017,Deliberate 2.0,"Illustration, Graphic Design, Logo, UK, USA",
148,"Cheval, Michael",1966,,DreamShaper 3.2,"Painting, Oil, Portrait, Surrealism, Russia, USA","512px + Highres. Fix, DPM++ 2M Karras, sometimes horses (cheval = french for horse)"
149,"Chevrier, Sandra",1983,,DreamShaper 3.2,"Painting, Acrylic, Portrait, Canada",
150,"Cho, Frank",1971,,DreamShaper 3.2,"Illustration, Comic, DC Comics, Marvel, Cover Art, South Korea, USA",
151,"Christensen, James C.",1942,2017,DreamShaper 3.2,"Illustration, Painting, Oil, Mythology, Fantasy, USA",
152,Cimabue (Cenni di Pepo),1240,1302,Deliberate 2.0,"Painting, Tempera, Portrait, Mythology, Italy, 13th Century",
153,"Ciurlionis, Mikalojus",1875,1911,DreamShaper 3.2,"Painting, Symbolism, Lithuania, 19th Century",
154,"Clarke, Harry",1889,1931,Deliberate 2.0,"Illustration, Stained Glass, Ireland",
155,"Clive, Henry",1883,1960,Deliberate 2.0,"Illustration, Cover Art, Portrait, Australia, USA",
156,"Cloonan, Becky",1980,,Deliberate 2.0,"Comic, DC Comics, B&W, USA",
157,"Cobb, Ron",1937,2020,Deliberate 2.0,"Illustration, Character Design, Concept Art, USA",
158,"Coburn, Alvin Langdon",1882,1966,Deliberate 2.0,"Photography, Portrait, B&W, USA",
159,"Cold, Chris",,,Deliberate 2.0,"Illustration, Concept Art, Game Art, Spain",
160,"Conder, Charles Edward",1868,1909,Deliberate 2.0,"Painting, Oil, Landscape, Portrait, Impressionism, UK, 19th Century",
161,"Condo, George",1957,,Deliberate 2.0,"Painting, Oil, Portrait, Cubism, USA",
162,"Constable, John",1776,1837,Deliberate 2.0,"Painting, Oil, Landscape, UK, 18th Century",
163,"Coomber, Yvonne",1964,,Deliberate 2.0,"Painting, Oil, Botanical, UK",
164,"Corben, Richard",1940,2020,Deliberate 2.0,"Comic, DC Comics, Marvel, Horror, USA",
165,"Corfield, Paul",,,Deliberate 2.0,"Painting, Landscape, UK",
166,"Corot, Jean-Baptiste Camille",1796,1875,Deliberate 2.0,"Painting, Oil, Landscape, Realism, France, 18th Century",
167,"Coss, Shawn",,,Deliberate 2.0,"Illustration, USA",
168,"Cossa, Francesco del",1430,1478,Deliberate 2.0,"Painting, Oil, Portrait, Mythology, Italy, 15th Century",
169,"Crane, Walter",1845,1915,Deliberate 2.0,"Illustration, Painting, Art Nouveau, Children's Book, UK, 19th Century",
170,"Crepax, Guido",1933,2003,Deliberate 2.0,"Illustration, Comic, Graphic Novel, Cover Art, Nudity, B&W, Italy",
171,"Crewdson, Gregory",1962,,Deliberate 2.0,"Photography, Portrait, Realism, USA",
172,"Criswell, Debbie",,,DreamShaper 3.2,"Painting, USA",
173,"Crosby, Njideka Akunyili",1983,,DreamShaper 3.2,"Painting, Oil, Acrylic, Pastels, Collage, Portrait, Nigeria, USA",
174,"Cross, Henri Edmond",1856,1910,Deliberate 2.0,"Painting, Oil, Watercolor, Landscape, Pointillism, France, 19th Century",
175,"Crécy, Nicolas de",1966,,DreamShaper 3.2,"Comic, Disney, France",
176,"Currin, John",1962,,DreamShaper 3.2,"Painting, Oil, Portrait, Nudity, USA",
177,"Cézanne, Paul",1839,1906,DreamShaper 3.2,"Painting, Oil, Landscape, Portrait, Cubism, Impressionism, France, 19th Century",
178,"Da Vinci, Leonardo",1452,1519,Deliberate 2.0,"Painting, Oil, Portrait, Landscape, Sculpture, Italy, 15th Century",
179,"DaLuz, Steven",1953,,DreamShaper 3.2,"Painting, USA",
180,"Daeni, Pino",1939,2010,Deliberate 2.0,"Illustration, Painting, Portrait, Cover Art, Italy",
181,"Dahl-Wolfe, Louise",1895,1989,Deliberate 2.0,"Photography, Fashion, USA",
182,"Dalrymple, Farel",1972,,DreamShaper 3.2,"Illustration, Watercolor, Author, Comic, Graphic Novel, DC Comics, Marvel, Cover Art, USA",
183,"Darger, Henry",1892,1973,Deliberate 2.0,"Illstration, Watercolor, Author, USA",
184,"Darrow, Geof",1955,,Deliberate 2.0,"Illustration, Comic, Graphic Novel, Cover Art, USA",
185,"Daumier, Honoré",1808,1879,Deliberate 2.0,"Illustration, Cartoon, Lithography, Ink, France, 19th Century",use lithography as additional keyword if subject doesn't take the style
186,"David, Jacques-Louis",1748,1825,Deliberate 2.0,"Painting, Oil, Portrait, Neoclassicism, France, 18th Century",
187,"Davis, Jack",1924,2016,Deliberate 2.0,"Comic, Mad Magazine, USA",512px + Highres. Fix
188,"Davis, Marc",1913,2000,Deliberate 2.0,"Illustration, Animation, Character Design, Disney",
189,"Davison, Craig",1965,,Deliberate 2.0,"Illustration, Comic, UK",
190,"De Ro, Jonas",,,DreamShaper 3.2,"Illustration, Concept Art, Belgium",
191,"DeConnick, Kelly Sue",1970,,DreamShaper 3.2,"Comic, DC Comics, Marvel, USA",
192,"DeForge, Michael",1987,,Deliberate 2.0,"Illustration, Comic, Graphic Novel, Canada",
193,"Deakin, Edwin",1838,1923,Deliberate 2.0,"Painting, Oil, Architecture, Landscape, Still Life, UK, USA, 19th Century",
194,"Degas, Edgar",1834,1917,Deliberate 2.0,"Painting, Oil, Portrait, Impressionism, France, 19th Century",
195,"Delaunay, Robert Victor Félix",1885,1941,Deliberate 2.0,"Painting, Oil, Watercolor, Pastel, Cubism, Abstract, France",
196,"Delort, Nicolas",,,DreamShaper 3.2,"Illustration, Fantasy, MTG, Game Art, B&W, Canada, France",768px minimum
197,"Delville, Jean",1867,1953,DreamShaper 3.2,"Painting, Symbolism, Belgium, 19th Century","Steps: 20, Sampler: Euler a, CFG scale: 7, Size: 512x512, Denoising strength: 0.2, Hires upscale: 2, Hires upscaler: SwinIR_4x"
198,"Delvoye, Wim",1965,,DreamShaper 3.2,"Concept Art, Belgium",
199,"Denis, Maurice",1870,1943,DreamShaper 3.2,"Painting, Symbolism, France, 19th Century",
200,"Denning, Guy",1965,,DreamShaper 3.2,"Painting, Oil, Street Art, B&W, UK",
201,"Deodato, Mike",1963,,Deliberate 2.0,"Comic, DC Comics, Marvel, B&W, Brazil",
202,"Detmold, Charles Maurice",1883,1908,DreamShaper 3.2,"Illustration, Watercolor, Ink, UK",
203,"Di Fate, Vincent",1945,,Deliberate 2.0,"Illustration, Painting, Fantasy, Sci-Fi, Cover Art, USA",
204,"Dillon, Diane",1933,,DreamShaper 3.2,"Illustration, Children's Book, Cover Art, USA",
205,"Ditko, Steve",1927,2018,DreamShaper 3.2,"Comic, Marvel, USA",
206,"Dittmann, Anna",,,DreamShaper 3.2,"Illustration, Portrait, DC Comics, USA",
207,"Doré, Gustave",1832,1883,Deliberate 2.0,"Illustration, Painting, B&W, France, 19th Century",
208,"Downton, David",1959,,Deliberate 2.0,"Illustration, Fashion, Portrait, UK",
209,"Doyle, Tim",,,DreamShaper 3.2,"Illustration, USA",
210,"Driskell, David C.",1931,2020,Deliberate 2.0,"Painting, Acrylic, Collage, USA",
211,"Druillet, Philippe",1944,,DreamShaper 3.2,"Illustration, Comic, France",
212,"Dubuffet, Jean",1901,1985,DreamShaper 3.2,"Painting, France",
213,"Duchamp-Villon, Raymond",1876,1918,Deliberate 2.0,"Sculpture, Drawing, Ink, France",
214,"Duddle, Jonny",1979,,Deliberate 2.0,"Author, Illustration, Children's Book, UK","output quite different/generic, but more colorful than the Disney artists"
215,"Dulac, Edmund",1882,1953,Deliberate 2.0,"Illustration, Watercolor, Ink, France",
216,"Durand, Asher Brown",1796,1886,Deliberate 2.0,"Painting, Oil, Landscape, USA, 19th Century",
217,"Dyer, Chris",1979,,Deliberate 2.0,"Painting, Canada",
218,"Dürer, Albrecht",1471,1528,DreamShaper 3.2,"Illustration, Engraving, B&W, Germany, 15th Century",
219,"Eakins, Thomas",1844,1916,DreamShaper 3.2,"Painting, Oil, Landscape, Portrait, Realism, USA, 19th Century",
220,"Earle, Eyvind",1916,2000,Deliberate 2.0,"Illustration, Painting, Concept Art, Fantasy, Disney, USA",
221,"Earles, Amy",,,DreamShaper 3.2,"Illustration, Painting, Oil, Gouache, USA",
222,"Easley, Jeff",1954,,Deliberate 2.0,"Comic, Painting, Oil, Fantasy, Marvel, USA","512px + Highres. Fix, DPM++ SDE Karras"
223,"Eaton, Tristan",1978,,DreamShaper 3.2,"Illustration, Street Art, Portrait, USA",
224,"Edlin, Tyler",,,DreamShaper 3.2,"Character Design, Concept Art, Game Art, Fantasy, USA",
225,"Edmiston, Jason",,,DreamShaper 3.2,"Illustration, Painting, Acrylic, Canada",
226,"Eggleston, William",1939,,Deliberate 2.0,"Photography, USA",
227,"Eggleton, Bob",1960,,Deliberate 2.0,"Illustration, Painting, Fantasy, Sci-Fi, Horror, Cover Art, MTG, USA",
228,"Eisner, Will",1917,2005,Deliberate 2.0,"Comic, USA",
229,El Greco (Domínikos Theotokópoulos),1541,1614,DreamShaper 3.2,"Painting, Oil, Portrait, Mythology, Greece, 16th Century",
230,"Ellis, Dean",1920,2009,DreamShaper 3.2,"Illustration, Painting, Sci-Fi, Cover Art, USA",
231,"Elsheimer, Adam",1578,1610,Deliberate 2.0,"Painting, Oil, Portrait, Landscape, Mythology, Germany, 16th Century",
232,"Elson, Peter",1947,1998,Deliberate 2.0,"Illustration, Painting, Sci-Fi, Cover Art, UK",
233,"Elvgren, Gil",1914,1980,DreamShaper 3.2,"Illustration, Pin-Ups, USA",512px + Highres. Fix
234,"Emshwiller, Ed",1925,1990,DreamShaper 3.2,"Illustration, Sci-Fi, USA",
235,"Eng, Kilian",,,DreamShaper 3.2,"Illustration, Sweden",
236,"Enjolras, Delphin",1857,1945,Deliberate 2.0,"Painting, Oil, Pastel, Portrait, Nudity, France",
237,"Erni, Hans",1909,2015,Deliberate 2.0,"Painting, Sculpture, Switzerland",
238,"Ernst, Maximilian Maria",1891,1976,Deliberate 2.0,"Painting, Oil, Dada, Surrealism, Germany, France",had to use [from:to:when] for H.C.
239,Erté (Romain de Tirtoff),1892,1990,Deliberate 2.0,"Illustration, Fashion, Cover Art, Art Deco, Russia, France",
240,"Escher, Maurits Cornelis",1898,1972,DreamShaper 3.2,"Illustration, Surrealism, B&W, Netherlands",
241,"Eversen, Adrianus",1818,1897,Deliberate 2.0,"Painting, Watercolor, Architecture, Netherlands, 19th Century",
242,"Fabry, Glenn",1961,,DreamShaper 3.2,"Illustration, Painting, Comic, Acrylic, Gouache, Ink, Cover Art, UK",
243,"Fadeev, Anton",,,DreamShaper 3.2,"Illustration, Concept Art, Fantasy, Russia",
244,"Fairey, Shepard",1970,,DreamShaper 3.2,"Illustration, Street Art, Portrait, USA",
245,"Fairhurst, Andy",,,DreamShaper 3.2,"Illustration, Character Design, Concept Art, Australia",
246,"Falter, John Philip",1910,1982,Deliberate 2.0,"Illustration, Painting, Oil, Cover Art, USA",
247,"Fang, Lijun",1963,,DreamShaper 3.2,"Painting, Oil, Surrealism, China",
248,"Fantin-Latour, Henri",1836,1904,Deliberate 2.0,"Painting, Oil, Still Life, Portrait, Botanical, 19th Century, France",
249,"Fegredo, Duncan",1964,,DreamShaper 3.2,"Comic, UK",
250,"Feininger, Lyonel",1871,1956,Deliberate 2.0,"Painting, Landscape, Expressionism, USA",
251,"Ferez, Andrew",,,DreamShaper 3.2,"Illustration, Fantasy, Russia",
252,"Ferri, Roberto",1978,,DreamShaper 3.2,"Painting, Oil, Portrait, Nudity, Mythology, Italy","didn't want to blur everything, so used Dreamshaper"
253,"Ferriss, Hugh",1889,1962,DreamShaper 3.2,"Illustration, Architecture, Cityscape, B&W, USA, 19th Century",
254,"Finlay, Virgil",1914,1971,DreamShaper 3.2,"Illustration, Fantasy, Sci-Fi, B&W, USA",
255,"Finnstark, Anato",,,DreamShaper 3.2,"Illustration, Concept Art, MTG, France",
256,"Fischer, Paul Gustav",1860,1934,DreamShaper 3.2,"Painting, Oil, Landscape, Portrait, Denmark",
257,"Fischinger, Oskar",1900,1967,DreamShaper 3.2,"Movie Director, Animation, Abstract, Germany",
258,"Flavin, Dan",1933,1996,Deliberate 2.0,"Light Installation, Minimalism, USA",
